#Sunbury Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Sunbury,Diggers Rest,Watergardens,Keilor Plains,St Albans,Ginifer,Albion,Sunshine,Tottenham,West Footscray,Middle Footscray,Footscray,South Kensington,North Melbourne,Flagstaff,Melbourne Central,Parliament,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Parliament,Melbourne Central,Flagstaff,Southern Cross
t149,-,-,-,-,-,-,-,-,-,-,-,17:59,|,18:05,Ê,Ê,Ê,18:08,18:14,-,-,-,-,-
t150,-,-,17:38,17:41,17:44,17:46,17:49,17:51,17:55,17:57,17:59,18:01,|,18:08,Ê,Ê,Ê,18:13,18:19,18:19,18:21,18:23,18:24,-
t151,-,-,-,-,-,-,-,-,-,-,-,18:07,18:10,18:13,Ê,Ê,Ê,18:16,18:20,-,-,-,-,-
t152,-,-,-,-,-,-,-,-,-,-,-,18:10,|,18:16,Ê,Ê,Ê,18:19,18:23,-,-,-,-,-
t153,17:40,17:44,17:51,17:54,17:57,17:59,18:02,18:04,18:08,18:10,18:12,18:14,|,18:19,Ê,Ê,Ê,18:22,18:27,18:27,18:29,18:31,18:32,-
t154,-,-,-,-,-,-,-,-,-,-,-,18:15,18:18,18:21,Ê,Ê,Ê,18:24,18:28,-,-,-,-,-
t155,-,-,-,-,-,-,-,-,-,-,-,18:21,|,18:27,Ê,Ê,Ê,18:30,18:34,-,-,-,-,-
t156,-,-,-,-,-,-,-,-,-,-,-,18:29,18:32,18:35,Ê,Ê,Ê,18:38,18:42,-,-,-,-,-
t157,-,-,18:11,18:14,18:17,18:19,18:22,18:24,18:28,18:30,18:32,18:34,|,18:39,Ê,Ê,Ê,18:42,18:46,-,-,-,-,-
t158,-,-,-,-,-,-,-,-,-,-,-,18:37,18:40,18:43,Ê,Ê,Ê,18:46,18:50,-,-,-,-,-
t159,-,-,18:20,18:23,18:26,18:28,18:31,18:33,18:37,18:39,18:41,18:43,|,18:48,Ê,Ê,Ê,18:53,18:58,-,-,-,-,-
t160,-,-,-,-,-,-,-,-,-,-,-,18:44,|,18:50,Ê,Ê,Ê,18:53,18:57,-,-,-,-,-
t161,-,-,-,-,-,-,-,-,-,-,-,18:51,18:54,18:57,Ê,Ê,Ê,19:00,19:04,-,-,-,-,-
t162,18:20,18:24,18:31,18:34,18:37,18:39,18:42,18:44,18:48,18:50,18:52,18:54,|,18:59,Ê,Ê,Ê,19:02,19:06,-,-,-,-,-
