#Alamein Line - To City,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Alamein,Asburton,Burwood,Hartwell,Willison,Riversdale,Camberwell,Auburn,Glenferrie,Hawthorn,Burnley,East Richmond,Richmond,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament
t168,-,-,-,-,-,-,20:52,20:54,20:56,20:58,21:00,|,21:03,,,,,21:07,-,-,-,-,-
t169,20:44,20:45,20:47,20:49,20:50,20:52,20:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t170,-,-,-,-,-,-,21:02,21:04,21:06,21:08,21:10,|,21:13,,,,,21:17,21:20,21:23,21:25,21:26,21:27
t171,21:14,21:15,21:17,21:19,21:20,21:22,21:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t172,-,-,-,-,-,-,21:32,21:34,21:36,21:38,21:40,|,21:43,,,,,21:47,21:50,21:53,21:55,21:56,21:57
t173,21:44,21:45,21:47,21:49,21:50,21:52,21:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t174,-,-,-,-,-,-,22:02,22:04,22:06,22:08,22:10,|,22:13,,,,,22:17,-,-,-,-,-
t175,22:14,22:15,22:17,22:19,22:20,22:22,22:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t176,-,-,-,-,-,-,22:32,22:34,22:36,22:38,22:40,|,22:43,,,,,22:47,22:59,23:02,23:04,23:05,23:06
t177,22:44,22:45,22:47,22:49,22:50,22:52,22:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t178,-,-,-,-,-,-,23:02,23:04,23:06,23:08,23:10,|,23:13,,,,,23:17,23:29,23:32,23:34,23:35,23:36
t179,23:14,23:15,23:17,23:19,23:20,23:22,23:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t180,-,-,-,-,-,-,23:32,23:34,23:36,23:38,23:40,|,23:43,,,,,23:47,23:59,0:02,0:04,0:05,0:06
t181,23:44,23:45,23:47,23:49,23:50,23:52,23:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t182,-,-,-,-,-,-,0:02,0:04,0:06,0:08,0:10,|,0:13,,,,,0:17,-,-,-,-,-
t183,0:14,0:15,0:17,0:19,0:20,0:22,0:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
